City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Katsuura,JP,35.1333,140.3,59.67,95,100,7.2,light rain
212,Whitehorse,CA,60.7161,-135.0538,50.77,35,75,10.0,broken clouds
213,Tirumullaivasal,IN,11.2333,79.8333,82.47,74,100,9.01,heavy intensity rain
214,Killybegs,IE,54.6333,-8.45,55.89,93,100,12.64,overcast clouds
215,Dajal,PK,29.5577,70.3762,86.99,36,0,9.8,clear sky
216,Norman Wells,CA,65.282,-126.8329,57.24,41,75,18.41,broken clouds
217,Bunol,ES,39.4167,-0.7833,63.16,61,100,5.39,overcast clouds
218,Avdiyivka,UA,48.1399,37.7426,46.74,89,5,8.25,clear sky
219,Cidreira,BR,-30.1811,-50.2056,59.02,79,97,14.27,overcast clouds
220,Kuito,AO,-12.3833,16.9333,54.54,65,13,2.86,few clouds
221,Ilulissat,GL,69.2167,-51.1,8.58,88,23,7.11,few clouds
222,Nanortalik,GL,60.1432,-45.2371,30.69,83,98,6.29,overcast clouds
223,Hami,CN,42.8,93.45,73.56,5,99,9.53,overcast clouds
224,Margate,GB,51.3813,1.3862,59.31,83,100,9.95,overcast clouds
225,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,2.3,overcast clouds
226,Lazarev,RU,52.225,141.5131,34.95,98,100,7.58,overcast clouds
227,Bengkulu,ID,-3.8004,102.2655,79.11,86,83,2.21,broken clouds
228,Dawson Creek,CA,55.7666,-120.2362,60.44,31,75,13.8,broken clouds
229,Svetlogorsk,BY,52.6333,29.7333,41.63,89,76,7.05,broken clouds
230,Port Hardy,CA,50.6996,-127.4199,48.38,93,100,0.0,light rain
231,Tukrah,LY,32.5341,20.5791,64.72,50,0,3.22,clear sky
232,Vila Velha,BR,-20.3297,-40.2925,75.15,69,75,9.22,broken clouds
233,Ous,RU,60.9058,61.5186,50.7,75,10,4.88,clear sky
234,Tondano,ID,1.3038,124.9112,80.69,61,43,1.43,scattered clouds
235,Buta,CD,2.7858,24.73,67.42,98,100,1.88,overcast clouds
236,Namatanai,PG,-3.6667,152.4333,85.1,62,100,2.68,overcast clouds
237,Port Lincoln,AU,-34.7333,135.8667,60.51,60,83,17.16,broken clouds
238,Vestmannaeyjar,IS,63.4427,-20.2734,48.63,92,100,19.13,overcast clouds
239,Puerto Ayacucho,VE,5.6639,-67.6236,79.0,85,100,5.26,overcast clouds
240,Pecos,US,31.4229,-103.4932,101.23,5,0,8.05,clear sky
241,Una,IN,20.8167,71.0333,82.81,76,0,10.6,clear sky
242,Kloulklubed,PW,7.0419,134.2556,83.39,72,14,8.12,few clouds
243,Samba,IN,32.5667,75.1167,95.92,10,99,7.36,overcast clouds
244,Sayyan,YE,15.1718,44.3244,56.52,19,0,3.89,clear sky
245,Jalu,LY,29.0331,21.5482,70.16,35,0,9.13,clear sky
246,Emba,KZ,48.8264,58.1442,57.25,72,73,8.01,broken clouds
247,Hofn,IS,64.2539,-15.2082,47.71,89,95,4.63,overcast clouds
248,Chicama,PE,-7.8447,-79.1469,61.34,72,65,6.53,broken clouds
249,George Town,MY,5.4112,100.3354,82.33,93,20,7.0,few clouds
250,Elias,CO,2.0117,-75.9397,63.84,98,97,3.2,overcast clouds
251,Kumbo,CM,6.2,10.6667,59.95,91,60,0.58,broken clouds
252,Indian Head,US,38.6001,-77.1622,70.16,88,75,11.5,thunderstorm
253,Salalah,OM,17.0151,54.0924,77.63,61,6,3.13,clear sky
254,Senador Jose Porfirio,BR,-2.5908,-51.9542,75.56,96,100,1.81,overcast clouds
255,Pevek,RU,69.7008,170.3133,28.71,77,94,4.38,overcast clouds
256,Newcastle,AU,-32.9272,151.7765,74.71,56,0,10.36,clear sky
257,Terrace,CA,54.5163,-128.6035,57.11,62,100,6.91,light intensity shower rain
258,Nuristan,AF,35.3,70.8333,45.19,42,20,5.08,few clouds
259,Darhan,MN,49.4867,105.9228,70.14,18,46,5.53,scattered clouds
260,Kologriv,RU,58.8275,44.3178,44.26,99,100,3.18,overcast clouds
261,Nouakchott,MR,18.0858,-15.9785,82.33,50,100,13.82,overcast clouds
262,Vrutky,SK,49.1133,18.9171,48.7,86,0,2.62,clear sky
263,Cloquet,US,46.7216,-92.4594,65.08,25,27,10.36,scattered clouds
264,Montreal,CA,45.5088,-73.5878,67.44,92,100,9.22,overcast clouds
265,Point Pedro,LK,9.8167,80.2333,84.72,74,100,13.89,overcast clouds
266,Saldanha,ZA,-33.0117,17.9442,57.25,43,0,8.5,clear sky
267,Bukachacha,RU,52.9833,116.9167,60.62,27,49,11.3,scattered clouds
268,Komsomolskiy,UZ,40.4272,71.7189,61.52,82,1,0.0,clear sky
269,Tambopata,PE,-12.7333,-69.1833,72.91,97,100,3.87,overcast clouds
270,Chase,CA,50.8165,-119.6857,55.15,96,100,3.38,overcast clouds
271,Bundaberg,AU,-24.85,152.35,82.22,75,2,1.01,clear sky
272,Tongzi,CN,28.7829,105.0877,59.94,78,94,2.42,overcast clouds
273,Ahipara,NZ,-35.1667,173.1667,68.05,79,9,12.03,clear sky
274,Launceston,AU,-41.45,147.1667,58.6,59,12,23.02,few clouds
