City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Solnechnyy,RU,2022-05-08 22:08:37,50.7214,136.6319,45.05,62,99,8.99
238,Geraldton,AU,2022-05-08 22:06:41,-28.7667,114.6,54.01,87,40,5.75
239,Erzin,TR,2022-05-08 22:08:39,36.9559,36.2,58.71,72,38,3.02
240,Comodoro Rivadavia,AR,2022-05-08 22:08:39,-45.8667,-67.5,58.86,29,0,8.05
241,Baiao,BR,2022-05-08 22:08:40,-2.7906,-49.6717,74.52,98,100,3.24
242,Hun,LY,2022-05-08 22:08:41,29.1268,15.9477,67.62,46,0,12.46
243,Jamame,SO,2022-05-08 22:08:42,0.0722,42.7506,77.65,91,98,7.14
244,Honningsvag,NO,2022-05-08 22:08:43,70.9821,25.9704,31.75,80,20,18.41
245,Aklavik,CA,2022-05-08 22:08:43,68.2191,-135.0107,43.0,67,26,8.34
246,Sohag,EG,2022-05-08 22:07:18,26.557,31.6948,85.95,14,99,3.65
247,Pangnirtung,CA,2022-05-08 22:08:44,66.1451,-65.7125,27.03,89,87,2.86
248,Cabra,ES,2022-05-08 22:08:45,37.4725,-4.4421,66.65,52,99,3.4
249,Nome,US,2022-05-08 22:08:46,64.5011,-165.4064,32.16,93,100,20.71
250,Dongsheng,CN,2022-05-08 22:08:46,39.8161,109.9776,48.2,54,90,7.49
251,Port Hardy,CA,2022-05-08 22:08:47,50.6996,-127.4199,48.0,69,46,16.08
252,Santa Cruz Cabralia,BR,2022-05-08 22:08:34,-16.2781,-39.0247,73.63,88,75,3.44
253,Luderitz,NA,2022-05-08 22:08:48,-26.6481,15.1594,60.98,42,60,9.08
254,Klaksvik,FO,2022-05-08 22:08:49,62.2266,-6.589,49.12,98,100,20.47
255,Ankara,TR,2022-05-08 22:04:54,39.9199,32.8543,51.21,67,0,3.44
256,Shingu,JP,2022-05-08 22:08:50,33.7333,135.9833,63.99,71,71,4.76
257,Lompoc,US,2022-05-08 22:07:53,34.6391,-120.4579,71.56,58,0,20.71
258,Morant Bay,JM,2022-05-08 22:08:52,17.8815,-76.4093,83.82,71,9,9.37
259,Joacaba,BR,2022-05-08 22:08:52,-27.1781,-51.5047,55.76,88,0,3.13
260,Buritis,BR,2022-05-08 22:08:53,-15.6178,-46.4233,78.15,46,72,3.0
261,Sola,VU,2022-05-08 22:08:54,-13.8833,167.55,80.53,74,60,24.47
